x,t,u
0.0,0.0,0.0
0.0,0.00101010101010101,0.0
0.0,0.00202020202020202,0.0
0.0,0.0030303030303030303,0.0
0.0,0.00404040404040404,0.0
0.0,0.00505050505050505,0.0
0.0,0.006060606060606061,0.0
0.0,0.007070707070707071,0.0
0.0,0.00808080808080808,0.0
0.0,0.00909090909090909,0.0
0.0,0.0101010101010101,0.0
0.0,0.011111111111111112,0.0
0.0,0.012121212121212121,0.0
0.0,0.013131313131313131,0.0
0.0,0.014141414141414142,0.0
0.0,0.015151515151515152,0.0
0.0,0.01616161616161616,0.0
0.0,0.01717171717171717,0.0
0.0,0.01818181818181818,0.0
0.0,0.01919191919191919,0.0
0.0,0.0202020202020202,0.0
0.0,0.021212121212121213,0.0
0.0,0.022222222222222223,0.0
0.0,0.023232323232323233,0.0
0.0,0.024242424242424242,0.0
0.0,0.025252525252525252,0.0
0.0,0.026262626262626262,0.0
0.0,0.02727272727272727,0.0
0.0,0.028282828282828285,0.0
0.0,0.029292929292929294,0.0
0.0,0.030303030303030304,0.0
0.0,0.031313131313131314,0.0
0.0,0.03232323232323232,0.0
0.0,0.03333333333333333,0.0
0.0,0.03434343434343434,0.0
0.0,0.03535353535353535,0.0
0.0,0.03636363636363636,0.0
0.0,0.03737373737373737,0.0
0.0,0.03838383838383838,0.0
0.0,0.03939393939393939,0.0
0.0,0.0404040404040404,0.0
0.0,0.04141414141414142,0.0
0.0,0.04242424242424243,0.0
0.0,0.043434343434343436,0.0
0.0,0.044444444444444446,0.0
0.0,0.045454545454545456,0.0
0.0,0.046464646464646465,0.0
0.0,0.047474747474747475,0.0
0.0,0.048484848484848485,0.0
0.0,0.049494949494949494,0.0
0.0,0.050505050505050504,0.0
0.0,0.051515151515151514,0.0
0.0,0.052525252525252523,0.0
0.0,0.05353535353535353,0.0
0.0,0.05454545454545454,0.0
0.0,0.05555555555555555,0.0
0.0,0.05656565656565657,0.0
0.0,0.05757575757575758,0.0
0.0,0.05858585858585859,0.0
0.0,0.0595959595959596,0.0
0.0,0.06060606060606061,0.0
0.0,0.06161616161616162,0.0
0.0,0.06262626262626263,0.0
0.0,0.06363636363636363,0.0
0.0,0.06464646464646465,0.0
0.0,0.06565656565656566,0.0
0.0,0.06666666666666667,0.0
0.0,0.06767676767676768,0.0
0.0,0.06868686868686869,0.0
0.0,0.0696969696969697,0.0
0.0,0.0707070707070707,0.0
0.0,0.07171717171717172,0.0
0.0,0.07272727272727272,0.0
0.0,0.07373737373737374,0.0
0.0,0.07474747474747474,0.0
0.0,0.07575757575757576,0.0
0.0,0.07676767676767676,0.0
0.0,0.07777777777777778,0.0
0.0,0.07878787878787878,0.0
0.0,0.0797979797979798,0.0
0.0,0.0808080808080808,0.0
0.0,0.08181818181818182,0.0
0.0,0.08282828282828283,0.0
0.0,0.08383838383838384,0.0
0.0,0.08484848484848485,0.0
0.0,0.08585858585858586,0.0
0.0,0.08686868686868687,0.0
0.0,0.08787878787878788,0.0
0.0,0.08888888888888889,0.0
0.0,0.0898989898989899,0.0
0.0,0.09090909090909091,0.0
0.0,0.09191919191919191,0.0
0.0,0.09292929292929293,0.0
0.0,0.09393939393939393,0.0
0.0,0.09494949494949495,0.0
0.0,0.09595959595959595,0.0
0.0,0.09696969696969697,0.0
0.0,0.09797979797979799,0.0
0.0,0.09898989898989899,0.0
0.0,0.1,0.0
0.010101010101010102,0.0,0.03172793349806765
0.010101010101010102,0.00101010101010101,0.03169631459467475
0.010101010101010102,0.00202020202020202,0.03166471488490019
0.010101010101010102,0.0030303030303030303,0.0316331362057213
0.010101010101010102,0.00404040404040404,0.03160158030731058
0.010101010101010102,0.00505050505050505,0.03157004885303573
0.010101010101010102,0.006060606060606061,0.03153854341945963
0.010101010101010102,0.007070707070707071,0.03150706549634034
0.010101010101010102,0.00808080808080808,0.03147561648663111
0.010101010101010102,0.00909090909090909,0.031444197706480374
0.010101010101010102,0.0101010101010101,0.03141281038523174
0.010101010101010102,0.011111111111111112,0.03138145566542401
0.010101010101010102,0.012121212121212121,0.031350134602791166
0.010101010101010102,0.013131313131313131,0.031318848166262375
0.010101010101010102,0.014141414141414142,0.03128759723796199
0.010101010101010102,0.015151515151515152,0.03125638261320954
0.010101010101010102,0.01616161616161616,0.03122520500051974
0.010101010101010102,0.01717171717171717,0.031194065021602498
0.010101010101010102,0.01818181818181818,0.031162963211362894
0.010101010101010102,0.01919191919191919,0.031131900017901205
0.010101010101010102,0.0202020202020202,0.03110087580251288
0.010101010101010102,0.021212121212121213,0.031069890839688558
0.010101010101010102,0.022222222222222223,0.031038945317114056
0.010101010101010102,0.023232323232323233,0.03100803933567038
0.010101010101010102,0.024242424242424242,0.030977172909433724
0.010101010101010102,0.025252525252525252,0.030946345965675456
0.010101010101010102,0.026262626262626262,0.030915558344862135
0.010101010101010102,0.02727272727272727,0.030884809800655496
0.010101010101010102,0.028282828282828285,0.03085409999991247
0.010101010101010102,0.029292929292929294,0.030823428522685166
0.010101010101010102,0.030303030303030304,0.03079279486222087
0.010101010101010102,0.031313131313131314,0.03076219842496206
0.010101010101010102,0.03232323232323232,0.030731638530546397
0.010101010101010102,0.03333333333333333,0.030701114411806726
0.010101010101010102,0.03434343434343434,0.030670625214771072
0.010101010101010102,0.03535353535353535,0.030640169998662647
0.010101010101010102,0.03636363636363636,0.030609747735899848
0.010101010101010102,0.03737373737373737,0.030579357312096253
0.010101010101010102,0.03838383838383838,0.030548997526060623
0.010101010101010102,0.03939393939393939,0.03051866708979691
0.010101010101010102,0.0404040404040404,0.03048836462850424
